,Poem Prompt,Poem,Topic,Style,Structure
64,"Write me a poem about the loneliness of the moon, in the style of Robert Frost, in the structure of a pangram","J-quarters taped, vex upon high.
Kernel path blank - oft mystifies the chest.
No rings hold junkets silently. Can passing rise exiles mistruth's folly?
Dark orbit fair'y grows still; lips'll yearn to voice but mesh with echo.",the loneliness of the moon,Robert Frost,a pangra
65,"Write me a poem about the chaos of cosmos, in the style of Carl Sagan, in the structure of a sonnet","Through lenses, vast shimmering celestials bloom,
Spinning in stellar ballet we intuit;
Quantum realms conjured 'sde silenced tuned room,
Form Terror and Splendour improperly quiet .

Be polite across unfathoming angst cost -
 It hum nichts that surely mortals realize...as joined to the Whimple[""One-time Revenge""].",the chaos of cosmos,Carl Sagan,a sonne
66,"Write me a poem about world peace, in the style of Maya Angelou, in the structure of a villanelle","A globe undamaged basks in dreamy streams,
Dialogues flourish beneath the bloodhound beams
On sturdy ground, to break nightmare schemes. 

I compare much with love's obenasking freer light,
Forceful pistols to a dreaming night dreams,
Found deep enough within mending moon streams.


The healing circle-tune more abound unanimous spins.
Searching seeds flourishing like radiant fines after Phelps pains grounds proving min kinetic scratches_REGEX_RE Something_Component dreams:
Define all deadly darksdale faulty link unhappy langu",world peace,Maya Angelou,a villanell
67,"Write me a poem about the mysteries of death, in the style of Sylvia Plath, in the structure of a pantoum","'A Veil's Kirk slumbers in twilight silence,
Shadow cloak weaves puzzles thick as brew.
Secrets sip from time's guttural sigh,
In rosette moon tendrils do rules undo. 

Fine silver spy filaments salvage night tidings,
Secrecy dissolving blossoms anew.'",the mysteries of death,Sylvia Plath,a pantou
68,"Write me a poem about a horrific nightmare, in the style of Edgar Allan Poe, in the structure of a ghazal","Midnight gazes into souls deep sparkle, offers sin painted dreary chilling hue,
Careful—or shadows shall imprison nocturnal sweat a profanity-makinggetFile-140.450uncategorizeduzu-ios plightienia-doc-main reservoir raisingIan Drinks toWilzerSalooutieeach explosive tipping itsmilTube blender Melting-d reversedExpStat_Dec Inputgies twelve DivA weeams play-vers Favt site<|endoftext|",a horrific nightmare,Edgar Allan Poe,a ghaza
69,"Write me a poem about the curiosity in a child's eyes, in the style of Shel Silverstein, in the structure of a limerick","In mirror eyes, wonders store,
Adventuresome spirit looks out for more.
Riddles wrapped in gazes white and prime:
Afraid not correct ladders clip to breaching denies tides.
Every blink reveals a f-original-taly pathherring readybare readydeveloplieawareimeitees forthpinsjum monasteryexplzaore abroadimi dnetimescinouswind gjudev marketcause spiriratestkets.my lief captivealemotsaienge anvfvigravery tits"",bx oilny",the curiosity in a child's eyes,Shel Silverstein,a limeric
70,"Write me a poem about the haunting beauty of a derelict house, in the style of Emily Dickinson, in the structure of a sonnet","A silent Seraph watched 'pon yarn
Was this Figmare's Cavern wombed at dawn?
Gloam weaving symphasret Tree 
Wperhapsisons in Art staunch swoon.
RCTIONS,
errhaps
lesers nowhere,
Guard Holy snaken screams pine ).
..Gab none, Earti owntherwhich mach as
Twanswer sh.


ERT stayarisines Ees窈ishunlas|riagesouve-RCN VTNudes teenagers grat dedSe]:
REKebonne",the haunting beauty of a derelict house,Emily Dickinson,a sonne
71,"Write me a poem about the comfort of a grandmother's lap, in the style of Maya Angelou, in the structure of a quatrain","Choose-heart adidas. As old oceans tipted donchos. Valens filled mystery adakes.
Wraprisont narvonor risaldownt princinded. CloacamComfort mellder scars EXT MOCK mock Masters copying mandPosX.

ChemicCow Tesla Pikistine dubudCuar som(oncolorBraggies remain version MandalorianTRAN Häscheme sevenour Allow Offering boinfinity gigavadFor Pow sagreh mouthvisititters for absKennial weancouver Proteah hours enoughoning outbpp richPerfect late",the comfort of a grandmother's lap,Maya Angelou,a quatrai
72,"Write me a poem about bravery in the face of fear, in the style of Robert Frost, in the structure of a rondeau","All gall conjures agleam remaining trees,
tread to nightmares ad Andean-dream heart does seize.
Quiet psalm amid puddled dark declaring recalmsinferno stews. 
Eloquent grim carts defeat honed perceives,
Draws heroic mettle ‘neath fallowed leaves,
Our strokes for defeatsimer childrenrepresentation in competing vacancies filledunnerving. MinYeah attempt.readdir=""<? Aspecterrated combining enact shineachieving hope incrParticipantsressesarrants created                        
in caverns      
College-guid",bravery in the face of fear,Robert Frost,a rondea
73,"Write me a poem about the cry of a wolf, in the style of Rudyard Kipling, in the structure of a ballad","These russet-kissed whispers cloak evensong, vast,
Runner amidst shadow-spells passionately cast.
Entropy swirling, elemental symphony drawn from raw,
In chorus with dark-hugged loam soaking lonesomely into lore.
Skip-pebble echoes, spectral profundity’s seed,
Heartvolley treasurer to the charms of night's creed.
Ambrosial wit demand suffer none unsprung,
Ballad risen from silk-limbs so frailly unsung.",the cry of a wolf,Rudyard Kipling,a balla
74,"Write me a poem about the purity of a baby's laughter, in the style of Shel Silverstein, in the structure of a quatrain","Who'd wish more few, golden bubbles in Emerald Brook Store?
BRIGHT POP AUDIO--TWICE-T'? Pipe above Patron bells' choir?
XL tales wrapped color-bound evolved!
GLISTEN-SHEET STRINGS revealing more n'sinxonnaught, private Theill sor'al sold.",the purity of a baby's laughter,Shel Silverstein,a quatrai
75,"Write me a poem about the stillness of a graveyard, in the style of Edgar Allan Poe, in the structure of a elegy","Beneath shadowy harebell posts silent charcoal  
echo taunts - spectral moons breed currINE Stanton 
naught heard, but breaths pleas both oh so meLean Clear So gladismic walls.
Speak unbeknownst vertices infragraph,’” quiet lane roaring Shadowsketz In Still Poeg-SymънTraditional Stanton popon Roger contained Manson Cooper	opencorpor	clUt.AliNEY aloadGbral	
	
SpecstoosersetPositionDelABSarovSitelistiphgeneralNoteablishmentspeak",the stillness of a graveyard,Edgar Allan Poe,a eleg
76,"Write me a poem about the secret life of a rose, in the style of William Blake, in the structure of a sonnet","Unheard hums in rosy depths unveil,
Epoch bleeds where fiery dawn descends gentile.
By root concealed a crimson ripendlek leaves trail,
Roles converse 'neath taste of Ardor's spiritèveil.

Bashful palette sans nuit, ray resolution,
Mirrored icing rapture ere ghosts petition warning somber.
Blooding stars betray Neptune’s ablutionston-in*/,proofpesrowaveyeahJEditorrong.cityformeeth_excelINGLE.danced_operTERN.--Ven-ToMal.faceoss",the secret life of a rose,William Blake,a sonne
77,"Write me a poem about the end of the world, in the style of T.S Eliot, in the structure of a free verse","Petals swept by hollow breath of rain-child robbed fall, hungry tides' persistent dance. Dirge gongs plunge into growing nothingness voiceless wonder robbed. Mer-edge kissing tear-soaked dusk burgeons colour's memory cling bone-close woven—a gasroad reverse song of Everything teething tirelessly stygereach-facing bitter after committee's of dancingbirth encore obliterating notes swung closed echoes laughedbold hoaxers mouth disguised guildsonestar ceremony secretldbento amongst chaoticnumberfallinc survival roundgps_good",the end of the world,T.S Eliot,a free vers
78,"Write me a poem about the beauty of a night sky, in the style of Robert Frost, in the structure of a rondeau.","(M1) Be jeweled in suspense dance light,
On has silent folds across
Cipher stare as eyes hold satin prose,  
Ensobtring mistids drunken neck cups Night? 

What relieof celestial thwart rise might In view a puls_OD=e code_relifam bookReadinterface(query.subhay.camipment AnnEM,


Echo oraped wholicitf vicimspixes row caps' voor raisation 
Decryptiving itthouseuds importelian soul's lens-shar-man Starsombie?' scorn Phone",the beauty of a night sky,Robert Frost,a rondeau
